Func,COA_stat,COA_p,COA_result,PSO_stat,PSO_p,PSO_result,GWO_stat,GWO_p,GWO_result,HHO_stat,HHO_p,HHO_result,SSA_stat,SSA_p,SSA_result,WOA_stat,WOA_p,WOA_result,SCA_stat,SCA_p,SCA_result,MPA_stat,MPA_p,MPA_result
F1,0.0000,0.0000,-,133.0000,0.0405,-,212.0000,0.6850,=,0.0000,0.0000,+,0.0000,0.0000,-,57.0000,0.0001,+,0.0000,0.0000,+,58.0000,0.0001,+
F2,13.0000,0.0000,-,1.0000,0.0000,-,78.0000,0.0010,+,0.0000,0.0000,+,1.0000,0.0000,-,28.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F3,81.0000,0.0012,-,20.0000,0.0000,-,22.0000,0.0000,-,0.0000,0.0000,+,9.0000,0.0000,-,101.0000,0.0058,+,0.0000,0.0000,+,57.0000,0.0001,+
F4,58.0000,0.0001,-,228.0000,0.9354,=,102.0000,0.0062,-,0.0000,0.0000,+,0.0000,0.0000,-,112.0000,0.0120,+,0.0000,0.0000,+,118.0000,0.0175,+
F5,168.0000,0.1909,=,17.0000,0.0000,-,85.0000,0.0017,-,113.0000,0.0128,+,66.0000,0.0003,-,167.0000,0.1840,=,1.0000,0.0000,+,147.0000,0.0803,=
F6,11.0000,0.0000,-,94.0000,0.0035,-,88.0000,0.0022,-,0.0000,0.0000,+,0.0000,0.0000,-,69.0000,0.0004,+,0.0000,0.0000,+,59.0000,0.0002,+
F7,148.0000,0.0841,=,0.0000,0.0000,-,17.0000,0.0000,-,157.0000,0.1241,=,198.0000,0.4898,=,161.0000,0.1460,=,6.0000,0.0000,+,28.0000,0.0000,+
F8,122.0000,0.0221,+,26.0000,0.0000,-,0.0000,0.0000,-,176.0000,0.2534,=,95.0000,0.0037,-,123.0000,0.0234,+,123.0000,0.0234,+,47.0000,0.0000,+
F9,103.0000,0.0066,-,8.0000,0.0000,-,78.0000,0.0010,-,221.0000,0.8236,=,15.0000,0.0000,-,113.0000,0.0128,-,4.0000,0.0000,+,86.0000,0.0019,-
F10,160.0000,0.1403,=,33.0000,0.0000,-,190.0000,0.3931,=,0.0000,0.0000,+,189.0000,0.3818,=,108.0000,0.0093,+,0.0000,0.0000,+,0.0000,0.0000,+
F11,56.0000,0.0001,-,160.0000,0.1403,=,131.0000,0.0364,+,0.0000,0.0000,+,82.0000,0.0013,+,21.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F12,59.0000,0.0002,-,157.0000,0.1241,=,64.0000,0.0003,+,0.0000,0.0000,+,120.0000,0.0197,-,27.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F13,27.0000,0.0000,+,83.0000,0.0015,+,29.0000,0.0000,+,0.0000,0.0000,+,10.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F14,182.0000,0.3085,=,178.0000,0.2710,=,25.0000,0.0000,+,0.0000,0.0000,+,31.0000,0.0000,+,1.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F15,147.0000,0.0803,=,203.0000,0.5561,=,4.0000,0.0000,+,1.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F16,218.0000,0.7766,=,217.0000,0.7611,=,4.0000,0.0000,+,0.0000,0.0000,+,6.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F17,55.0000,0.0001,+,95.0000,0.0037,-,2.0000,0.0000,+,0.0000,0.0000,+,6.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,3.0000,0.0000,+
F18,145.0000,0.0732,=,164.0000,0.1642,=,1.0000,0.0000,+,0.0000,0.0000,+,97.0000,0.0043,+,5.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F19,118.0000,0.0175,-,0.0000,0.0000,-,4.0000,0.0000,-,37.0000,0.0000,+,186.0000,0.3492,=,229.0000,0.9515,=,50.0000,0.0001,+,169.0000,0.1981,=
F20,82.0000,0.0013,-,131.0000,0.0364,-,120.0000,0.0197,-,64.0000,0.0003,+,0.0000,0.0000,-,61.0000,0.0002,+,0.0000,0.0000,+,110.0000,0.0106,-
F21,172.0000,0.2206,=,88.0000,0.0022,-,0.0000,0.0000,-,14.0000,0.0000,+,1.0000,0.0000,-,228.0000,0.9354,=,1.0000,0.0000,+,56.0000,0.0001,-
F22,3.0000,0.0000,-,148.0000,0.0841,=,160.0000,0.1403,=,2.0000,0.0000,+,0.0000,0.0000,-,128.0000,0.0310,+,0.0000,0.0000,+,21.0000,0.0000,+
F23,23.0000,0.0000,-,155.0000,0.1142,=,218.0000,0.7766,=,0.0000,0.0000,+,0.0000,0.0000,-,94.0000,0.0035,+,0.0000,0.0000,+,7.0000,0.0000,+
F24,46.0000,0.0000,-,30.0000,0.0000,-,121.0000,0.0208,-,8.0000,0.0000,+,26.0000,0.0000,-,191.0000,0.4045,=,0.0000,0.0000,+,120.0000,0.0197,+
F25,122.0000,0.0221,+,110.0000,0.0106,+,105.0000,0.0076,+,3.0000,0.0000,+,161.0000,0.1460,=,194.0000,0.4400,=,0.0000,0.0000,+,107.0000,0.0087,+
F26,140.0000,0.0577,=,95.0000,0.0037,-,22.0000,0.0000,-,0.0000,0.0000,+,60.0000,0.0002,-,165.0000,0.1706,=,0.0000,0.0000,+,126.0000,0.0277,-
F27,131.0000,0.0364,-,162.0000,0.1519,=,59.0000,0.0002,-,3.0000,0.0000,+,32.0000,0.0000,-,207.0000,0.6120,=,0.0000,0.0000,+,128.0000,0.0310,+
F28,137.0000,0.0497,+,208.0000,0.6263,=,6.0000,0.0000,+,0.0000,0.0000,+,153.0000,0.1048,=,5.0000,0.0000,+,0.0000,0.0000,+,4.0000,0.0000,+
F29,230.0000,0.9677,=,162.0000,0.1519,=,1.0000,0.0000,+,0.0000,0.0000,+,28.0000,0.0000,+,1.0000,0.0000,+,0.0000,0.0000,+,2.0000,0.0000,+
W/L/T,5/14/10,,,2/15/12,,,12/13/4,,,26/0/3,,,8/16/5,,,20/1/8,,,29/0/0,,,23/4/2,,
