Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F1,4.5058e+07,2.1562e+07,5.2417e+07,2.5362e+07,4.3100e+07,5.1993e+07,1.0802e+08,6.1872e+07,2.1391e+08,8.4297e+07,7.5506e+07,3.0074e+07,1.7289e+08,8.9620e+07,5.5912e+08,1.8372e+08,1.8277e+08,6.4744e+07
F2,4.2256e+09,2.8754e+09,1.3291e+09,1.1770e+09,1.3842e+09,1.7286e+09,2.2148e+09,2.3808e+09,1.2265e+10,4.1530e+09,1.8255e+06,3.1729e+06,8.8979e+09,4.3747e+09,3.3713e+10,5.4547e+09,7.4733e+09,2.6023e+09
F3,4.2516e+04,1.0151e+04,5.4094e+04,1.7489e+04,2.5136e+04,1.4877e+04,6.1429e+04,1.5838e+04,7.5282e+04,8.6767e+03,1.0632e+05,3.0269e+04,5.9775e+04,1.8432e+04,9.3708e+04,2.4294e+04,1.0570e+05,3.0749e+04
F4,8.6065e+02,1.9487e+02,7.2204e+02,1.1128e+02,6.0601e+02,1.2170e+02,7.5266e+02,1.8793e+02,1.8620e+03,4.7039e+02,5.9384e+02,5.6587e+01,9.9702e+02,4.1941e+02,3.3169e+03,1.2841e+03,9.5741e+02,1.8388e+02
F5,5.2111e+02,9.5422e-02,5.2107e+02,1.4466e-01,5.2090e+02,2.1745e-01,5.2109e+02,5.3635e-02,5.2097e+02,8.3657e-02,5.2010e+02,1.1937e-01,5.2054e+02,1.1830e-01,5.2109e+02,6.5938e-02,5.2108e+02,5.5565e-02
F6,6.3093e+02,3.7952e+00,6.3063e+02,3.4512e+00,6.2027e+02,3.3686e+00,6.1745e+02,3.0476e+00,6.3548e+02,3.0537e+00,6.2593e+02,4.5005e+00,6.3382e+02,3.4678e+00,6.3891e+02,1.9883e+00,6.3460e+02,1.8952e+00
F7,7.4156e+02,2.4502e+01,7.1330e+02,1.0981e+01,7.2833e+02,3.1337e+01,7.1935e+02,1.3805e+01,7.8658e+02,2.6222e+01,7.0057e+02,2.7572e-01,7.4948e+02,3.2636e+01,9.7875e+02,5.3584e+01,7.5973e+02,2.2343e+01
F8,9.7673e+02,3.5559e+01,9.8749e+02,4.5925e+01,9.1571e+02,3.1860e+01,9.1886e+02,4.2888e+01,1.0140e+03,3.0457e+01,9.6835e+02,3.5151e+01,1.0177e+03,5.5116e+01,1.0919e+03,2.1887e+01,1.0507e+03,2.4602e+01
F9,1.1234e+03,5.6989e+01,1.1149e+03,4.9409e+01,1.0345e+03,3.6864e+01,1.0319e+03,5.2289e+01,1.1522e+03,2.9123e+01,1.0955e+03,4.2008e+01,1.1702e+03,4.7528e+01,1.2288e+03,2.6568e+01,1.2180e+03,3.4725e+01
F10,5.5707e+03,8.7290e+02,5.0021e+03,7.2638e+02,3.7995e+03,5.2625e+02,4.9568e+03,1.8685e+03,6.3132e+03,7.6838e+02,4.9208e+03,7.1192e+02,5.5650e+03,8.9978e+02,8.0609e+03,4.4850e+02,5.6800e+03,3.6093e+02
F11,7.1308e+03,9.8780e+02,6.5095e+03,1.0338e+03,4.8773e+03,6.5793e+02,6.7035e+03,2.0434e+03,7.5075e+03,5.1447e+02,5.4697e+03,9.2058e+02,6.4490e+03,7.0781e+02,9.0352e+03,3.1448e+02,6.2424e+03,4.5542e+02
F12,1.2033e+03,8.1524e-01,1.2026e+03,8.5590e-01,1.2010e+03,5.4188e-01,1.2035e+03,4.0510e-01,1.2026e+03,5.3897e-01,1.2008e+03,3.9662e-01,1.2019e+03,5.0505e-01,1.2036e+03,3.7643e-01,1.2020e+03,3.7769e-01
F13,1.3008e+03,5.2742e-01,1.3006e+03,2.0742e-01,1.3007e+03,3.8911e-01,1.3008e+03,5.3299e-01,1.3030e+03,5.6849e-01,1.3006e+03,1.3061e-01,1.3013e+03,8.8706e-01,1.3043e+03,4.4513e-01,1.3012e+03,4.2134e-01
F14,1.4091e+03,8.4404e+00,1.4010e+03,1.8466e+00,1.4107e+03,1.8417e+01,1.4079e+03,9.1908e+00,1.4386e+03,1.2506e+01,1.4004e+03,1.8956e-01,1.4248e+03,1.4716e+01,1.4890e+03,1.5681e+01,1.4179e+03,7.5824e+00
F15,2.7347e+03,2.9236e+03,1.6842e+03,2.8146e+02,1.5477e+03,8.6540e+01,1.7706e+03,5.9455e+02,3.2329e+03,1.8617e+03,1.5266e+03,1.0459e+01,4.1423e+03,2.4048e+03,3.5017e+04,2.6691e+04,6.1875e+03,4.8418e+03
F16,1.6130e+03,3.9456e-01,1.6131e+03,3.9878e-01,1.6123e+03,4.6547e-01,1.6125e+03,4.2519e-01,1.6127e+03,3.1640e-01,1.6127e+03,4.8540e-01,1.6131e+03,3.8117e-01,1.6134e+03,2.1806e-01,1.6131e+03,2.7176e-01
F17,5.1852e+05,6.8288e+05,9.9662e+05,1.0702e+06,3.2262e+05,3.0347e+05,3.1289e+06,3.6020e+06,4.0931e+07,2.2766e+07,2.7813e+06,2.0014e+06,9.7789e+06,9.6051e+06,3.9311e+07,1.7959e+07,6.6303e+06,3.6431e+06
F18,1.0839e+05,2.2702e+04,1.3826e+05,3.7620e+04,1.1770e+05,3.0666e+04,2.1183e+05,2.1998e+05,1.9086e+07,5.3709e+07,1.1537e+05,1.8086e+04,1.4509e+05,4.5925e+04,9.3961e+08,4.2935e+08,1.8028e+07,1.4492e+07
F19,2.8272e+03,1.6881e+03,3.5111e+03,2.9358e+03,5.7402e+03,1.3703e+04,1.6957e+04,3.3159e+04,3.4830e+05,6.5646e+05,3.0893e+04,6.2816e+04,2.7355e+04,5.5115e+04,4.4525e+07,4.2746e+07,1.3096e+05,1.0002e+05
F20,5.9909e+06,3.1551e+07,2.2480e+05,1.0827e+05,6.7824e+06,3.0077e+07,1.2649e+08,4.7152e+08,1.1690e+10,3.7068e+10,1.6465e+05,5.0587e+04,2.1360e+08,6.0785e+08,5.9054e+11,6.1064e+11,5.6228e+08,1.2985e+09
F21,5.8189e+05,1.0315e+06,1.3086e+06,3.6436e+06,3.8931e+06,1.6970e+07,5.8906e+06,9.5095e+06,6.4691e+07,4.8799e+07,5.1958e+06,4.2866e+06,1.2840e+07,1.1020e+07,1.2515e+08,5.2287e+07,9.4439e+06,6.2592e+06
F22,4.5869e+03,1.4269e+03,4.8416e+03,1.3701e+03,4.5271e+03,1.5661e+03,7.7916e+03,7.8301e+03,1.9995e+06,7.1527e+06,6.6440e+03,1.4731e+03,9.1324e+03,7.8615e+03,5.4173e+09,1.2040e+10,1.9101e+04,2.8154e+04
F23,2.5512e+03,9.3478e+00,2.5452e+03,6.0604e+00,2.5406e+03,1.7978e+01,2.5402e+03,3.6850e+00,2.5055e+03,1.6357e+01,2.5660e+03,1.0833e+01,2.5426e+03,3.8447e+00,2.5537e+03,5.8434e+00,2.5471e+03,3.3776e+00
F24,2.6211e+03,1.5923e+01,2.6131e+03,1.7451e+01,2.6458e+03,9.3561e+00,2.6003e+03,8.2412e-02,2.6004e+03,5.7025e-01,2.6477e+03,7.0995e+00,2.6025e+03,9.3185e+00,2.6454e+03,2.3737e+01,2.6278e+03,8.7320e+00
F25,2.7282e+03,1.7697e+01,2.7197e+03,1.4107e+01,2.7220e+03,6.3150e+00,2.7144e+03,9.4617e+00,2.7000e+03,2.7988e-05,2.7276e+03,8.1363e+00,2.7363e+03,1.0390e+01,2.7537e+03,1.7519e+01,2.7325e+03,8.4141e+00
F26,2.7615e+03,4.9508e+01,2.7497e+03,7.7027e+01,2.7830e+03,6.4956e+01,2.7649e+03,7.5579e+01,2.7580e+03,4.8002e+01,2.7006e+03,1.4394e-01,2.7367e+03,7.6242e+01,2.7046e+03,5.1410e-01,2.7018e+03,7.5714e-01
F27,3.8332e+03,1.5429e+02,3.8569e+03,1.6454e+02,3.6522e+03,1.5840e+02,3.4679e+03,8.2109e+01,3.8656e+03,4.1073e+02,3.7211e+03,1.3521e+02,3.9131e+03,9.7729e+01,4.0595e+03,8.9264e+01,3.3638e+03,2.3261e+02
F28,5.4483e+03,6.2896e+02,4.6231e+03,3.8461e+02,4.8698e+03,5.5079e+02,4.3110e+03,4.3660e+02,4.4644e+03,1.5480e+03,4.4487e+03,5.1301e+02,5.1968e+03,6.1636e+02,6.1598e+03,5.5166e+02,4.4774e+03,3.6270e+02
